"aɪ"	"V"	"VV"
"mi.han"	"CV.CVC"	"CV.CVC"
"mi.hu"	"CV.CV"	"CV.CV"
"mi.jan"	"CV.CVC"	"CV.CVC"
"mi.jan.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"mi.ja.ti"	"CV.CV.CV"	"CV.CV.CV"
"mi.jə"	"CV.CV"	"CV.CV"
"mi.jʊŋ"	"CV.CVC"	"CV.CVC"
"mi.kam"	"CV.CVC"	"CV.CVC"
"mi.tʃan"	"CV.CVC"	"CV.CCVC"
"mi.tʃan.si.tɛm"	"CV.CVC.CV.CVC"	"CV.CCVC.CV.CVC"
"mi.tʃo"	"CV.CV"	"CV.CCV"
"mi.lan"	"CV.CVC"	"CV.CVC"
"mi.ma"	"CV.CV"	"CV.CV"
"mi.ma.ja"	"CV.CV.CV"	"CV.CV.CV"
"mi.ma.jaːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"mi.maːn"	"CV.CVC"	"CV.CVVC"
"mi.maŋ"	"CV.CVC"	"CV.CVC"
"mi.nə"	"CV.CV"	"CV.CV"
"mi.no"	"CV.CV"	"CV.CV"
"mi.ram.pa.lʊɪ"	"CV.CVC.CV.CV"	"CV.CVC.CV.CVV"
"mi.ran"	"CV.CVC"	"CV.CVC"
"mi.ra.naŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"mi.ran.a.rɪl"	"CV.CVC.V.CVC"	"CV.CVC.V.CVC"
"mi.ra.no"	"CV.CV.CV"	"CV.CV.CV"
"mi.ran.ta.han"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"mi.ran.ta.haːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"mi.ro.maːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"mi.san"	"CV.CVC"	"CV.CVC"
"mi.saŋ"	"CV.CVC"	"CV.CVC"
"mi.sɛr.jan"	"CV.CVC.CVC"	"CV.CVC.CVC"
"mi.sʊŋ"	"CV.CVC"	"CV.CVC"
"mi.tan"	"CV.CVC"	"CV.CVC"
"mi.ta.na.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"mi.tra.ma.taʊ"	"CV.CCV.CV.CV"	"CV.CCV.CV.CVV"
"mi.tra.na.va.saŋ"	"CV.CCV.CV.CV.CVC"	"CV.CCV.CV.CV.CVC"
"mi.traŋ"	"CV.CCVC"	"CV.CCVC"
"mjal.tan"	"CCVC.CVC"	"CCVC.CVC"
"mɪn.dʒi.saːn"	"CVC.CV.CVC"	"CVC.CCV.CVVC"
"mɪn.dɔ.jam"	"CVC.CV.CVC"	"CVC.CV.CVC"
"mɪŋ"	"CVC"	"CVC"
"mɪŋ.an"	"CVC.VC"	"CVC.VC"
"mɪŋ.kaɪ"	"CVC.CV"	"CVC.CVV"
"mɪŋ.ɔɪ"	"CVC.V"	"CVC.VV"
"mɪn.ta.paŋ"	"CVC.CV.CVC"	"CVC.CV.CVC"
"mɔn.do"	"CVC.CV"	"CVC.CV"
"mo.tɔn"	"CV.CVC"	"CV.CVC"
"mɪs"	"CVC"	"CVC"
"mu.ja"	"CV.CV"	"CV.CV"
"mu.jaːn"	"CV.CVC"	"CV.CVVC"
"mu.ja.vi.raŋ"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"mu.ran"	"CV.CVC"	"CV.CVC"
"mu.rɛn.jan"	"CV.CVC.CVC"	"CV.CVC.CVC"
"mu.tan"	"CV.CVC"	"CV.CVC"
"mu.ti.pu.ti"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"naɪ"	"CV"	"CVV"
"na.bi.sa.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"na.bɪs.maː.va.ja"	"CV.CVC.CV.CV.CV"	"CV.CVC.CVV.CV.CV"
"na.bɪs.ne.ta.ja"	"CV.CVC.CV.CV.CV"	"CV.CVC.CV.CV.CV"
"na.gaː.nan"	"CV.CV.CVC"	"CV.CVV.CVC"
"na.ham.pan"	"CV.CVC.CVC"	"CV.CVC.CVC"
"na.haŋ"	"CV.CVC"	"CV.CVC"
"na.hi"	"CV.CV"	"CV.CV"
"na.hʊŋ"	"CV.CVC"	"CV.CVC"
"na.jar"	"CV.CVC"	"CV.CVC"
"na.jɪŋ"	"CV.CVC"	"CV.CVC"
"na.ka"	"CV.CV"	"CV.CV"
"na.kan"	"CV.CVC"	"CV.CVC"
"na.kan.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"na.kaʊ.ran"	"CV.CV.CVC"	"CV.CVV.CVC"
"na.ke"	"CV.CV"	"CV.CV"
"na.le.ta.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"na.li"	"CV.CV"	"CV.CV"
"na.ma"	"CV.CV"	"CV.CV"
"na.ma.kaː.ja"	"CV.CV.CV.CV"	"CV.CV.CVV.CV"
"na.na"	"CV.CV"	"CV.CV"
"naɪ.naɪ"	"CV.CV"	"CVV.CVV"
"na.naŋ"	"CV.CVC"	"CV.CVC"
"nan.dɪŋ"	"CVC.CVC"	"CVC.CVC"
"naŋ"	"CVC"	"CVC"
"naŋ.a"	"CVC.V"	"CVC.V"
"naŋ.a.ban.ja"	"CVC.V.CVC.CV"	"CVC.V.CVC.CV"
"naŋ.a.dʒaːn"	"CVC.V.CVC"	"CVC.V.CCVVC"
"naŋ.aːn"	"CVC.VC"	"CVC.VVC"
"naŋ.i.no"	"CVC.V.CV"	"CVC.V.CV"
"nan.ti"	"CVC.CV"	"CVC.CV"
"nan.tɔŋ"	"CVC.CVC"	"CVC.CVC"
"na.paɪ"	"CV.CV"	"CV.CVV"
"na.pa.ka.rɔn"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"na.pa.laːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"na.pa.pe.rɪn"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"na.paː.ti"	"CV.CV.CV"	"CV.CVV.CV"
"na.pɛr.jan"	"CV.CVC.CVC"	"CV.CVC.CVC"
"na.pi.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"na.ra"	"CV.CV"	"CV.CV"
"na.ra.ban"	"CV.CV.CVC"	"CV.CV.CVC"
"na.ra.ka.hu"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"na.ram.be.su.heɪ"	"CV.CVC.CV.CV.CV"	"CV.CVC.CV.CV.CVV"
"na.raːn"	"CV.CVC"	"CV.CVVC"
"na.ra.no"	"CV.CV.CV"	"CV.CV.CV"
"na.raːn.ti.jan"	"CV.CVC.CV.CVC"	"CV.CVVC.CV.CVC"
"naː.rɛŋ"	"CV.CVC"	"CVV.CVC"
"naːr.ja"	"CVC.CV"	"CVVC.CV"
"naː.rɔɪ"	"CV.CV"	"CVV.CVV"
"nas"	"CVC"	"CVC"
"na.saɪ"	"CV.CV"	"CV.CVV"
"na.san"	"CV.CVC"	"CV.CVC"
"na.si.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"nas.jam"	"CVC.CVC"	"CVC.CVC"
"nas.jan"	"CVC.CVC"	"CVC.CVC"
"na.tas"	"CV.CVC"	"CV.CVC"
"na.tra.jɔn"	"CV.CCV.CVC"	"CV.CCV.CVC"
"na.tra.jɔn.jeː.na"	"CV.CCV.CVC.CV.CV"	"CV.CCV.CVC.CVV.CV"
"na.traŋ.a"	"CV.CCVC.V"	"CV.CCVC.V"
"na.van"	"CV.CVC"	"CV.CVC"
"na.va.saŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"na.vʊr"	"CV.CVC"	"CV.CVC"
"ne.ban"	"CV.CVC"	"CV.CVC"
"ne.draːn"	"CV.CCVC"	"CV.CCVVC"
"ne.kan"	"CV.CVC"	"CV.CVC"
"ne.kwi"	"CV.CCV"	"CV.CCV"
"ne.lan"	"CV.CVC"	"CV.CVC"
"ne.lu"	"CV.CV"	"CV.CV"
"nɛm.baŋ"	"CVC.CVC"	"CVC.CVC"
"ne.ne.tu"	"CV.CV.CV"	"CV.CV.CV"
"ne.pri.saːn"	"CV.CCV.CVC"	"CV.CCV.CVVC"
"ne.raʊ"	"CV.CV"	"CV.CVV"
"nɛr.nan"	"CVC.CVC"	"CVC.CVC"
"nɛr.no"	"CVC.CV"	"CVC.CV"
"ne.ru.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ne.si"	"CV.CV"	"CV.CV"
"ne.tɔɪ"	"CV.CV"	"CV.CVV"
"ne.tu"	"CV.CV"	"CV.CV"
"ne.tu.van"	"CV.CV.CVC"	"CV.CV.CVC"
"ni"	"CV"	"CV"
"ni.baːn"	"CV.CVC"	"CV.CVVC"
"ni.ge.no"	"CV.CV.CV"	"CV.CV.CV"
"ni.ha.ga"	"CV.CV.CV"	"CV.CV.CV"
"ni.han"	"CV.CVC"	"CV.CVC"
"ni.jas"	"CV.CVC"	"CV.CVC"
"ni.ka"	"CV.CV"	"CV.CV"
"ni.kaŋ"	"CV.CVC"	"CV.CVC"
"ni.kaŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"ni.laɪ"	"CV.CV"	"CV.CVV"
"ni.la.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ni.lan"	"CV.CVC"	"CV.CVC"
"ni.lar.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"ni.li.sa"	"CV.CV.CV"	"CV.CV.CV"
"ni.man"	"CV.CVC"	"CV.CVC"
"ni.man.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"ni.na"	"CV.CV"	"CV.CV"
"ni.na.ja"	"CV.CV.CV"	"CV.CV.CV"
"ni.ru"	"CV.CV"	"CV.CV"
"ni.sa"	"CV.CV"	"CV.CV"
"niː.sa"	"CV.CV"	"CVV.CV"
"ni.sa.ham"	"CV.CV.CVC"	"CV.CV.CVC"
"ni.sa.han"	"CV.CV.CVC"	"CV.CV.CVC"
"ni.taːn"	"CV.CVC"	"CV.CVVC"
"ni.ta.tʃan"	"CV.CV.CVC"	"CV.CV.CCVC"
"ni.va"	"CV.CV"	"CV.CV"
"ni.vaːn"	"CV.CVC"	"CV.CVVC"
"ni.vi.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"nja"	"CCV"	"CCV"
"njam"	"CCVC"	"CCVC"
"njaːn"	"CCVC"	"CCVVC"
"nja.na.raːn"	"CCV.CV.CVC"	"CCV.CV.CVVC"
"njaː.ni.laŋ"	"CCV.CV.CVC"	"CCVV.CV.CVC"
"nja.njaːn"	"CCV.CCVC"	"CCV.CCVVC"
"nɪl.ja.man"	"CVC.CV.CVC"	"CVC.CV.CVC"
"nɪm.pu.pra.si"	"CVC.CV.CCV.CV"	"CVC.CV.CCV.CV"
"nɪm.pʊr"	"CVC.CVC"	"CVC.CVC"
"nɪm.pu.ri.van"	"CVC.CV.CV.CVC"	"CVC.CV.CV.CVC"
"nɪn"	"CVC"	"CVC"
"nɪŋ.am.ba.kar"	"CVC.VC.CV.CVC"	"CVC.VC.CV.CVC"
"nɪŋ.an"	"CVC.VC"	"CVC.VC"
"nɪŋ.e.na"	"CVC.V.CV"	"CVC.V.CV"
"nɪŋ.ma.pi.nam"	"CVC.CV.CV.CVC"	"CVC.CV.CV.CVC"
"no.ga.lam"	"CV.CV.CVC"	"CV.CV.CVC"
"no.jaːn"	"CV.CVC"	"CV.CVVC"
"no.jo"	"CV.CV"	"CV.CV"
"noːn"	"CVC"	"CVVC"
"noː.ne.ri"	"CV.CV.CV"	"CVV.CV.CV"
"nɔŋ.ɔn"	"CVC.VC"	"CVC.VC"
"nɔŋ.u"	"CVC.V"	"CVC.V"
"no.saː.ja"	"CV.CV.CV"	"CV.CVV.CV"
"no.saːn"	"CV.CVC"	"CV.CVVC"
"no.ta.haːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"nu.ho"	"CV.CV"	"CV.CV"
"nu.nam"	"CV.CVC"	"CV.CVC"
"nu.naːn"	"CV.CVC"	"CV.CVVC"
"nu.paːn"	"CV.CVC"	"CV.CVVC"
"nu.ra"	"CV.CV"	"CV.CV"
"nu.san"	"CV.CVC"	"CV.CVC"
"nu.vɛŋ"	"CV.CVC"	"CV.CVC"
"o.na.mo"	"V.CV.CV"	"V.CV.CV"
"o.san"	"V.CVC"	"V.CVC"
"pa.da.ban.ja"	"CV.CV.CVC.CV"	"CV.CV.CVC.CV"
"pa.daŋ"	"CV.CVC"	"CV.CVC"
"pa.di.la.mi.tʃan"	"CV.CV.CV.CV.CVC"	"CV.CV.CV.CV.CCVC"
"pa.di.lan"	"CV.CV.CVC"	"CV.CV.CVC"
"pa.gan"	"CV.CVC"	"CV.CVC"
"pa.ha.maɪ"	"CV.CV.CV"	"CV.CV.CVV"
"pa.hi"	"CV.CV"	"CV.CV"
"pa.ju"	"CV.CV"	"CV.CV"
"pa.ju.taːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"pa.ka"	"CV.CV"	"CV.CV"
"pa.kaɪ"	"CV.CV"	"CV.CVV"
"pa.tʃam"	"CV.CVC"	"CV.CCVC"
"pa.tʃa.man"	"CV.CV.CVC"	"CV.CCV.CVC"
"pa.kas"	"CV.CVC"	"CV.CVC"
"pa.kas.pa.kas"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"pa.ki.san"	"CV.CV.CVC"	"CV.CV.CVC"
"pa.kɪr"	"CV.CVC"	"CV.CVC"
"pa.kraɪ"	"CV.CCV"	"CV.CCVV"
"pa.kɪs"	"CV.CVC"	"CV.CVC"
"pa.ku.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"pa.la"	"CV.CV"	"CV.CV"
"pa.laɪ"	"CV.CV"	"CV.CVV"
"pa.lan"	"CV.CVC"	"CV.CVC"
"pa.laːn"	"CV.CVC"	"CV.CVVC"
"pa.lʊŋ"	"CV.CVC"	"CV.CVC"
"pa.lʊŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"pa.lʊŋ.an.jam"	"CV.CVC.VC.CVC"	"CV.CVC.VC.CVC"
"pa.lʊŋ.i.sa"	"CV.CVC.V.CV"	"CV.CVC.V.CV"
"pa.lu"	"CV.CV"	"CV.CV"
"pa.lu.kan"	"CV.CV.CVC"	"CV.CV.CVC"
"pa.na"	"CV.CV"	"CV.CV"
"pan.da.ha"	"CVC.CV.CV"	"CVC.CV.CV"
"pan.da.haːn"	"CVC.CV.CVC"	"CVC.CV.CVVC"
"pan.daː.pan"	"CVC.CV.CVC"	"CVC.CVV.CVC"
"paŋ"	"CVC"	"CVC"
"paŋ.al"	"CVC.VC"	"CVC.VC"
"paŋ.an"	"CVC.VC"	"CVC.VC"
"paŋ.a.vaɪ"	"CVC.V.CV"	"CVC.V.CVV"
"paŋ.kɔŋ"	"CVC.CVC"	"CVC.CVC"
"paŋ.laɪ"	"CVC.CV"	"CVC.CVV"
"paŋ.ɔɪ"	"CVC.V"	"CVC.VV"
"paŋ.ra"	"CVC.CV"	"CVC.CV"
"paŋ.ɪs"	"CVC.VC"	"CVC.VC"
"paŋ.ɪt.lan"	"CVC.VC.CVC"	"CVC.VC.CVC"
"paŋ.vaː"	"CVC.CV"	"CVC.CVV"
"pan.jan"	"CVC.CVC"	"CVC.CVC"
"pan.tʃa"	"CVC.CV"	"CVC.CCV"
"pa.nu"	"CV.CV"	"CV.CV"
"pa.pa.si"	"CV.CV.CV"	"CV.CV.CV"
"pa.ra"	"CV.CV"	"CV.CV"
"pa.raɪ"	"CV.CV"	"CV.CVV"
"pa.ra.ba"	"CV.CV.CV"	"CV.CV.CV"
"pa.ral"	"CV.CVC"	"CV.CVC"
"pa.ran"	"CV.CVC"	"CV.CVC"
"pa.raːn"	"CV.CVC"	"CV.CVVC"
"pa.rʊn"	"CV.CVC"	"CV.CVC"
"pa.rɪŋ"	"CV.CVC"	"CV.CVC"
"pa.ro.naːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"pa.si.baɪ"	"CV.CV.CV"	"CV.CV.CVV"
"pa.siː.sa"	"CV.CV.CV"	"CV.CVV.CV"
"pa.sja.man"	"CV.CCV.CVC"	"CV.CCV.CVC"
"pa.sɪŋ"	"CV.CVC"	"CV.CVC"
"pa.sɪŋ.pa.sɪŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"pa.so"	"CV.CV"	"CV.CV"
"pa.so.no"	"CV.CV.CV"	"CV.CV.CV"
"pa.so.pa.so"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"pas.taːn"	"CVC.CVC"	"CVC.CVVC"
"pas.ti.saːn"	"CVC.CV.CVC"	"CVC.CV.CVVC"
"pa.ta"	"CV.CV"	"CV.CV"
"paː.ta.daɪ"	"CV.CV.CV"	"CVV.CV.CVV"
"pa.ta.je.laŋ"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"pa.tam"	"CV.CVC"	"CV.CVC"
"pa.ta.mɛŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"pa.tan"	"CV.CVC"	"CV.CVC"
"pa.tʃan"	"CV.CVC"	"CV.CCVC"
"pa.tas"	"CV.CVC"	"CV.CVC"
"pat.laɪ"	"CVC.CV"	"CVC.CVV"
"pa.tran"	"CV.CCVC"	"CV.CCVC"
"pa.tu"	"CV.CV"	"CV.CV"
"pe.bu.kaːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"pe.daŋ"	"CV.CVC"	"CV.CVC"
"pe.ga.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"pe.gaːn"	"CV.CVC"	"CV.CVVC"
"pe.ham"	"CV.CVC"	"CV.CVC"
"pe.hu"	"CV.CV"	"CV.CV"
"pɛl"	"CVC"	"CVC"
"pe.laŋ"	"CV.CVC"	"CV.CVC"
"pe.na.ja"	"CV.CV.CV"	"CV.CV.CV"
"peɪ.nam"	"CV.CVC"	"CVV.CVC"
"pɛn.daɪ"	"CVC.CV"	"CVC.CVV"
"pɛŋ.al"	"CVC.VC"	"CVC.VC"
"pɛŋ.al.pɛŋ.al"	"CVC.VC.CVC.VC"	"CVC.VC.CVC.VC"
"pe.nʊŋ"	"CV.CVC"	"CV.CVC"
"pe.no"	"CV.CV"	"CV.CV"
"pe.ra"	"CV.CV"	"CV.CV"
"pe.ra.bi.ma.ja"	"CV.CV.CV.CV.CV"	"CV.CV.CV.CV.CV"
"pe.ran"	"CV.CVC"	"CV.CVC"
"pe.raɪ.saːn"	"CV.CV.CVC"	"CV.CVV.CVVC"
"pe.ri.tʃan"	"CV.CV.CVC"	"CV.CV.CCVC"
"pe.ri.maɪ"	"CV.CV.CV"	"CV.CV.CVV"
"pe.rɪn"	"CV.CVC"	"CV.CVC"
"pe.ro"	"CV.CV"	"CV.CV"
"pe.rɔŋ"	"CV.CVC"	"CV.CVC"
"pe.san"	"CV.CVC"	"CV.CVC"
"pe.si.go"	"CV.CV.CV"	"CV.CV.CV"
"pe.taʊ"	"CV.CV"	"CV.CVV"
"pe.taː.ja"	"CV.CV.CV"	"CV.CVV.CV"
"pə.tʃa.man"	"CV.CV.CVC"	"CV.CCV.CVC"
"pe.taːn"	"CV.CVC"	"CV.CVVC"
"pe.taŋ"	"CV.CVC"	"CV.CVC"
"pe.ti.gɛr.jan"	"CV.CV.CVC.CVC"	"CV.CV.CVC.CVC"
"pi.dɪm"	"CV.CVC"	"CV.CVC"
"pi.ha"	"CV.CV"	"CV.CV"
"pi.haːn"	"CV.CVC"	"CV.CVVC"
"pi.ju"	"CV.CV"	"CV.CV"
"pi.kaːn"	"CV.CVC"	"CV.CVVC"
"pi.kaŋ"	"CV.CVC"	"CV.CVC"
"pi.ku"	"CV.CV"	"CV.CV"
"pi.ku.la.kaɪ"	"CV.CV.CV.CV"	"CV.CV.CV.CVV"
"pi.ku.nan.dɪŋ"	"CV.CV.CVC.CVC"	"CV.CV.CVC.CVC"
"pi.la"	"CV.CV"	"CV.CV"
"pi.li.su"	"CV.CV.CV"	"CV.CV.CV"
"pi.naɪ"	"CV.CV"	"CV.CVV"
"pi.nam"	"CV.CVC"	"CV.CVC"
"pi.ni.ram"	"CV.CV.CVC"	"CV.CV.CVC"
"pi.ran"	"CV.CVC"	"CV.CVC"
"pi.su"	"CV.CV"	"CV.CV"
"pi.su.pi.su"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"pi.swan"	"CV.CCVC"	"CV.CCVC"
"pja.ban"	"CCV.CVC"	"CCV.CVC"
"pɪn"	"CVC"	"CVC"
"pɪn.jan"	"CVC.CVC"	"CVC.CVC"
"pʊn.taːn"	"CVC.CVC"	"CVC.CVVC"
"po.ju"	"CV.CV"	"CV.CV"
"po.ju.po.ju"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"po.ju.prʊɪ"	"CV.CV.CCV"	"CV.CV.CCVV"
"po.kaɪ"	"CV.CV"	"CV.CVV"
"po.ka.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"po.nan"	"CV.CVC"	"CV.CVC"
"pɔɪ.paŋ"	"CV.CVC"	"CVV.CVC"
"pɔr.tam.baɪ"	"CVC.CVC.CV"	"CVC.CVC.CVV"
"prʊɪ"	"CCV"	"CCVV"
"prʊɪ"	"CCV"	"CCVV"
"praɪ"	"CCV"	"CCVV"
"pra.ba.ra"	"CCV.CV.CV"	"CCV.CV.CV"
"pra.lan"	"CCV.CVC"	"CCV.CVC"
"praɪ.laŋ"	"CCV.CVC"	"CCVV.CVC"
"pra.mi"	"CCV.CV"	"CCV.CV"
"pra.no"	"CCV.CV"	"CCV.CV"
"pran.tan"	"CCVC.CVC"	"CCVC.CVC"
"pra.pan"	"CCV.CVC"	"CCV.CVC"
"prar.jan"	"CCVC.CVC"	"CCVC.CVC"
"pra.san"	"CCV.CVC"	"CCV.CVC"
"pra.si"	"CCV.CV"	"CCV.CV"
"pre.kaɪ"	"CCV.CV"	"CCV.CVV"
"pri.hɪn"	"CCV.CVC"	"CCV.CVC"
"pri.hɪŋ.u.mo"	"CCV.CVC.V.CV"	"CCV.CVC.V.CV"
"pri.kan"	"CCV.CVC"	"CCV.CVC"
"pru.gan"	"CCV.CVC"	"CCV.CVC"
"pu.kan"	"CV.CVC"	"CV.CVC"
"pu.ka.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"pu.lʊɪ"	"CV.CV"	"CV.CVV"
"pu.lan"	"CV.CVC"	"CV.CVC"
"pu.lɛŋ"	"CV.CVC"	"CV.CVC"
"pu.rɪŋ"	"CV.CVC"	"CV.CVC"
"pu.tʃan"	"CV.CVC"	"CV.CCVC"
"pu.ti"	"CV.CV"	"CV.CV"
"raɪ"	"CV"	"CVV"
"ra.do"	"CV.CV"	"CV.CV"
"ra.dʒu"	"CV.CV"	"CV.CCV"
"ra.ga.je.sʊɪ"	"CV.CV.CV.CV"	"CV.CV.CV.CVV"
"ra.gan"	"CV.CVC"	"CV.CVC"
"ra.gan.tɛr.pɛŋ"	"CV.CVC.CVC.CVC"	"CV.CVC.CVC.CVC"
"ra.dʒi"	"CV.CV"	"CV.CCV"
"ra.ja"	"CV.CV"	"CV.CV"
"ra.jam"	"CV.CVC"	"CV.CVC"
"ra.jɛŋ"	"CV.CVC"	"CV.CVC"
"raː.jɔn"	"CV.CVC"	"CVV.CVC"
"ra.ju"	"CV.CV"	"CV.CV"
"ra.la.ma.paŋ"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"ra.lan"	"CV.CVC"	"CV.CVC"
"ra.laŋ.haɪ"	"CV.CVC.CV"	"CV.CVC.CVV"
"ra.la.seɪ"	"CV.CV.CV"	"CV.CV.CVV"
"ra.leɪ"	"CV.CV"	"CV.CVV"
"ra.ma.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"raɪ.mas"	"CV.CVC"	"CVV.CVC"
"ram.bi.sa"	"CVC.CV.CV"	"CVC.CV.CV"
"ran"	"CVC"	"CVC"
"ra.naɪ"	"CV.CV"	"CV.CVV"
"ra.na.ja"	"CV.CV.CV"	"CV.CV.CV"
"raŋ"	"CVC"	"CVC"
"raŋ.a.ma"	"CVC.V.CV"	"CVC.V.CV"
"ra.ni.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"ra.ni.ti.su"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ran.ja"	"CVC.CV"	"CVC.CV"
"ra.pan"	"CV.CVC"	"CV.CVC"
"raɪ.paːn"	"CV.CVC"	"CVV.CVVC"
"ra.po"	"CV.CV"	"CV.CV"
"ra.ro"	"CV.CV"	"CV.CV"
"ras"	"CVC"	"CVC"
"ra.sa"	"CV.CV"	"CV.CV"
"ra.saːn"	"CV.CVC"	"CV.CVVC"
"raɪ.sɪl.van"	"CV.CVC.CVC"	"CVV.CVC.CVC"
"ra.tʃa"	"CV.CV"	"CV.CCV"
"ra.tʃam"	"CV.CVC"	"CV.CCVC"
"ra.tan"	"CV.CVC"	"CV.CVC"
"ra.tas"	"CV.CVC"	"CV.CVC"
"ra.teɪ"	"CV.CV"	"CV.CVV"
"ra.tran"	"CV.CCVC"	"CV.CCVC"
"reɪ"	"CV"	"CVV"
"re.gan.deɪ"	"CV.CVC.CV"	"CV.CVC.CVV"
"rɛm.bu.taɪ"	"CVC.CV.CV"	"CVC.CV.CVV"
"rɛn"	"CVC"	"CVC"
"rɛŋ"	"CVC"	"CVC"
"re.nɔŋ"	"CV.CVC"	"CV.CVC"
"rɛn.tam"	"CVC.CVC"	"CVC.CVC"
"re.ri"	"CV.CV"	"CV.CV"
"re.ta"	"CV.CV"	"CV.CV"
"riː"	"CV"	"CVV"
"ri.a.jo"	"CV.V.CV"	"CV.V.CV"
"ri.da"	"CV.CV"	"CV.CV"
"ri.da.sa.paɪ"	"CV.CV.CV.CV"	"CV.CV.CV.CVV"
"ri.gan"	"CV.CVC"	"CV.CVC"
"ri.ha.saɪ"	"CV.CV.CV"	"CV.CV.CVV"
"ri.lɛŋ"	"CV.CVC"	"CV.CVC"
"ri.ma"	"CV.CV"	"CV.CV"
"ri.maɪ"	"CV.CV"	"CV.CVV"
"ri.man"	"CV.CVC"	"CV.CVC"
"ri.na"	"CV.CV"	"CV.CV"
"ri.saŋ"	"CV.CVC"	"CV.CVC"
"ri.van"	"CV.CVC"	"CV.CVC"
"ro.dan"	"CV.CVC"	"CV.CVC"
"ro.ha"	"CV.CV"	"CV.CV"
"ro.haɪ"	"CV.CV"	"CV.CVV"
"ro.ham.pa.raːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"ro.haŋ.ki.vo"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"ro.ho"	"CV.CV"	"CV.CV"
"ru.gɔn"	"CV.CVC"	"CV.CVC"
"ru.ha"	"CV.CV"	"CV.CV"
"ru.nɔɪ"	"CV.CV"	"CV.CVV"
"ru.nu"	"CV.CV"	"CV.CV"
"rwaːn"	"CCVC"	"CCVVC"
"saː"	"CV"	"CVV"
"sa.baːn"	"CV.CVC"	"CV.CVVC"
"sa.daɪ"	"CV.CV"	"CV.CVV"
"sa.da.jo"	"CV.CV.CV"	"CV.CV.CV"
"sa.da.jɔn"	"CV.CV.CVC"	"CV.CV.CVC"
"sa.das"	"CV.CVC"	"CV.CVC"
"sa.gan"	"CV.CVC"	"CV.CVC"
"sa.go.nan"	"CV.CV.CVC"	"CV.CV.CVC"
"sa.ha.jam"	"CV.CV.CVC"	"CV.CV.CVC"
"sa.ha.rwan"	"CV.CV.CCVC"	"CV.CV.CCVC"
"sa.hi.dʒan"	"CV.CV.CVC"	"CV.CV.CCVC"
"sa.jam.pa.ral"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"sa.jan"	"CV.CVC"	"CV.CVC"
"sa.jaŋ.wi.na"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"sa.ja.ni.va"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
